행정동명,저가카페_매장수,전체_카페수,저가카페_비율(%),감성커피,더벤티,더카페,디저트39,만랩커피,매머드커피,메가커피,바나프레소,벤티프레소,봄봄,빽다방,셀렉토,영커피,요거프레소,우지커피,이디야,쥬씨,카페게이트,카페인중독,커피베이,커피사피엔스,커피에반하다,컴포즈커피,텐퍼센트,토프레소,하삼동
목2동,10,160.0,6.25,0,0,2,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0
동화동,4,64.0,6.25,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
필동,21,336.0,6.25,0,1,0,0,2,2,4,2,0,0,0,0,0,0,0,6,1,0,0,0,0,0,2,1,0,0
구로5동,19,305.0,6.23,0,0,0,1,0,2,3,0,0,0,1,0,0,0,0,5,1,0,1,1,0,0,3,0,0,1
대학동,21,342.0,6.14,0,2,1,2,0,1,3,0,0,0,1,0,0,1,0,4,1,0,0,1,0,1,3,0,0,0
장지동,8,131.0,6.11,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0
중곡2동,10,164.0,6.1,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0
오류1동,10,164.0,6.1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,2,0,2,0
구의1동,17,280.0,6.07,0,1,0,2,0,1,2,0,0,0,0,0,1,0,0,2,1,0,2,2,0,1,1,0,1,0
중계본동,10,165.0,6.06,1,1,1,0,0,0,2,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0
잠실본동,27,447.0,6.04,0,0,0,2,0,1,5,0,0,3,2,0,0,0,1,3,0,0,1,2,0,2,2,2,1,0
역삼2동,34,563.0,6.04,0,1,1,0,1,8,6,2,0,0,0,1,0,0,1,7,0,0,0,2,0,0,3,1,0,0
화곡본동,7,116.0,6.03,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
숭인2동,8,133.0,6.02,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0
양재1동,30,499.0,6.01,0,0,0,0,0,5,4,1,0,0,0,1,0,2,0,8,3,0,0,1,0,0,1,0,4,0
방학3동,3,50.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
중앙동,8,134.0,5.97,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0
신림동,20,335.0,5.97,0,1,2,0,1,1,5,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0
신월4동,5,85.0,5.88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
수색동,4,68.0,5.88,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
수유2동,7,119.0,5.88,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0
남가좌2동,16,273.0,5.86,0,1,1,0,0,1,2,0,0,0,0,1,0,2,0,3,0,0,0,0,2,0,2,0,0,1
